As2000 Simbols Table
#vq3563;Vq3563_ContPuntiRottFiloC2;punti contati dalla molla rottura filo
#vq3564;Vq3564_Debug;
#vq3565;Vq3565_debug;
#vq3566;Vq3566_debug;
#vq3591;Vq3591_CNT_CicliAutomaticoUser;conteggio cicli automatico azzerabile da utente            valore 0.001
#vq3592;Vq3592_CNT_CicliAutomaticoVita;conteggio cicli automatico vita macchina                valore 0.001
#vq3593;Vq3593_CNT_CicliAutomaticoVitaX100K;conteggio cicli automatico vita macchina x 100000        a 100000 di vq3592 incrementa valore 0.001
#vq3596;Vq3596_ContPuntiSpolaC1;conteggio punti fatti
#vq3597;Vq3597_ImpPuntiSpolaC1;conteggio punti da fare
#vq3598;Vq3598_ContPuntiSpolaC2;conteggio punti fatti
#vq3599;Vq3599_ImpPuntiSpolaC2;conteggio punti da fare
#vq3600;GoAxPlcCaricErrCode;GoAx asse caricatore - ErrorCode
#vq3601;GoAxPlcCariObj;GoAx asse caricatore - quota obbiettivo
#vq3602;GoAxPlcCaricVel;GoAx asse caricatore - Velocita'
#vq3603;GoAxPlcCaric;GoAx asse caricatore - Libera
#vq4000;FUN301_vq4000;
#i1;i1;
#i2;i2;
#i3;i3;
#i4;i4;C1_FcZeroCrochet
#i5;i5;
#i6;i6;_FcMinCaricatore1
#i7;i7;
#i8;i8;
#i9;i9;
#i10;i10;
#i11;i11;
#i12;i12;
#i13;i13;
#i14;i14;
#i15;i15;
#i16;i16;
#i17;i17;
#i18;i18;
#i19;i19;
#i20;i20;
#i21;i21;
#i22;i22;
#i23;i23;
#i24;i24;
#i25;i25;
#i26;i26;
#i27;i27;
#i28;i28;
#i29;i29;
#i30;i30;
#i31;i31;
#i32;i32;
#i33;i33;
#i34;i34;
#i35;i35;
#i36;i36;C2_FcZeroCrochet
#i37;i37;C2_FcMinAsseX
#i38;i38;C2_FcMinAsseY
#i39;i39;
#i40;i40;i40_C2_FcZeroAgo
#i41;i41;
#i42;i42;
#i43;i43;FcMinCaricatore2
#i44;i44;
#i45;i45;
#i46;i46;
#i47;i47;
#i48;i48;
#i49;i49;_CarPat_Top_SUGIu
#i50;i50;_CarPat_Middle_SUGIu
#i51;i51;_CarPat_Bottom_SUGIu  --------i51_C2_FcMinAsseX
#i52;i52;_CarPat_Tastatore  ----------- i52_C2_FcMinAsseY
#i53;i53;_CarPat_Empty  -------------i53_C2_FcMaxAsseY
#i54;i54;_CarPat_BackPos   ------i54_C2_FcZeroAgo
#i55;i55;
#i56;i56;
#i57;i57;
#i58;i58;
#i59;i59;
#i60;i60;
#i61;i61;
#i62;i62;
#i63;i63;
#i64;i64;
#o1;o1;
#o2;o2;
#o3;o3;
#o4;o4;
#o5;o5;
#o6;o6;
#o7;o7;
#o8;o8;
#o9;o9;
#o10;o10;
#o11;o11;
#o12;o12;
#o13;o13;
#o14;o14;
#o15;o15;
#o16;o16;
#o17;o17;
#o18;o18;
#o19;o19;
#o20;o20;
#o21;o21;
#o22;o22;
#o23;o23;
#o24;o24;
#o25;o25;
#o26;o26;
#o27;o27;
#o28;o28;
#o29;o29;
#o30;o30;
#o31;o31;
#o32;o32;
#o33;o33;
#o34;o34;
#o35;o35;
#o36;o36;
#o37;o37;
#o38;o38;
#o39;o39;
#o40;o40;
#o41;o41;
#o42;o42;
#o43;o43;
#o44;o44;
#o45;o45;
#o46;o46;
#o47;o47;
#o48;o48;
#o49;o49;
#o50;o50;
#o51;o51;
#o52;o52;
#o53;o53;
#o54;o54;
#o55;o55;
#o56;o56;
#o57;o57;
#o58;o58;
#o59;o59;
#o60;o60;
#o61;o61;
#o62;o62;
#o63;o63;
#o64;o64;
